AreaCode,AreaName,ConditionName,Source,localtime,Priority,Link1
12,Area12,Crowd alert,CAM-142,2022-04-04 10:16:26.857000000,88,%DVMWebServerPath%ShowClip.asp?SiteID=1&CameraID=143&ClipID={fd49ec94-6af1-469a-99f2-7020d15787c5}
12,Area12,Crowd alert,CAM-142,2022-04-04 18:16:26,48,%DVMWebServerPath%ShowClip.asp?SiteID=1&CameraID=143&ClipID={fd49ec94-6af1-469a-99f2-7020d15787c5}
12,Area12,Person loitering,CAM-142,2022-04-04 18:16:26.680000000,8,%DVMWebServerPath%ShowClip.asp?SiteID=1&CameraID=143&ClipID={fd49ec94-6af1-469a-99f2-7020d15787c5}
